source_field,source_number,source_id,ra_deg,dec_deg,peak_flux,snr,noise_level,peak_x_pix,peak_y_pix,npix
G313.766-00.862_eb1,5306,G313.766-00.862_eb1_5306,216.273778754829,-61.75746826430971,0.0002226091455668211,10.897889931265269,2.0426811701242398e-05,143,0,183
G313.766-00.862_eb1,5307,G313.766-00.862_eb1_5307,216.27376231844272,-61.757468266290175,0.00811501033604145,397.27248944816387,2.0426811701242398e-05,150,0,1343
G313.766-00.862_eb1,5314,G313.766-00.862_eb1_5314,216.27395251091232,-61.75746824325323,0.00043188247946090996,21.142921655005125,2.0426811701242398e-05,69,0,85
G313.766-00.862_eb1,5328,G313.766-00.862_eb1_5328,216.2741004383885,-61.757468225153644,0.00028972438303753734,14.183534233094035,2.0426811701242398e-05,6,0,10
G313.766-00.862_eb1,5349,G313.766-00.862_eb1_5349,216.27410748255406,-61.75746822428779,0.0002552813966758549,12.49736867454103,2.0426811701242398e-05,3,0,9
G313.766-00.862_eb1,5370,G313.766-00.862_eb1_5370,216.27408869811262,-61.75746822659595,0.00022692207130603492,11.1090303579894,2.0426811701242398e-05,11,0,39
G313.766-00.862_eb1,5380,G313.766-00.862_eb1_5380,216.27409809033333,-61.75746822544219,0.0002686950610950589,13.154038183977404,2.0426811701242398e-05,7,0,15
G313.766-00.862_eb1,5412,G313.766-00.862_eb1_5412,216.27406286950568,-61.75746822976545,0.0003477802383713424,17.025674072777093,2.0426811701242398e-05,22,0,77
G313.766-00.862_eb1,5454,G313.766-00.862_eb1_5454,216.27407930589192,-61.75746822774905,0.0002198727015638724,10.763926587255872,2.0426811701242398e-05,15,0,92
G313.766-00.862_eb1,5511,G313.766-00.862_eb1_5511,216.27373179372537,-61.75746826996296,0.0002093724615406245,10.249884544042185,2.0426811701242398e-05,163,0,179
G313.766-00.862_eb1,5518,G313.766-00.862_eb1_5518,216.27409809033333,-61.75746822544219,0.0002932533679995686,14.356296630557003,2.0426811701242398e-05,7,0,22
G313.766-00.862_eb1,5552,G313.766-00.862_eb1_5552,216.2740182564573,-61.757468235228636,0.00020834102178923786,10.19939013666857,2.0426811701242398e-05,41,0,81
G313.766-00.862_eb1,5585,G313.766-00.862_eb1_5585,216.27409574227815,-61.75746822573068,0.00021687224216293544,10.617038299214599,2.0426811701242398e-05,8,0,15
G313.766-00.862_eb1,5609,G313.766-00.862_eb1_5609,216.2740722617264,-61.757468228613455,0.0002687012020032853,13.154338813772997,2.0426811701242398e-05,18,0,36
G313.766-00.862_eb1,5646,G313.766-00.862_eb1_5646,216.27401121229175,-61.75746823608988,0.0002827475545927882,13.841981740870063,2.0426811701242398e-05,44,0,88
G313.766-00.862_eb1,5719,G313.766-00.862_eb1_5719,216.27381162760153,-61.75746826034289,0.000250722689088434,12.274195932064353,2.0426811701242398e-05,129,0,164
G313.766-00.862_eb1,5766,G313.766-00.862_eb1_5766,216.27403234478837,-61.757468233504966,0.00022140523651614785,10.838952243471338,2.0426811701242398e-05,35,0,87
G313.766-00.862_eb1,5888,G313.766-00.862_eb1_5888,216.27406756561604,-61.75746822918954,0.00023667316418141127,11.586397703319326,2.0426811701242398e-05,20,0,106
G313.766-00.862_eb1,5966,G313.766-00.862_eb1_5966,216.2740206045125,-61.75746823494146,0.00020794864394702017,10.180181175037333,2.0426811701242398e-05,40,0,68
G313.766-00.862_eb1,5986,G313.766-00.862_eb1_5986,216.27397129535376,-61.75746824096371,0.000237948217545636,11.648818279906283,2.0426811701242398e-05,61,0,82
G313.766-00.862_eb1,6182,G313.766-00.862_eb1_6182,216.27411452671956,-61.757468223421576,0.0002048715396085754,10.029540713694185,2.0426811701242398e-05,0,0,9
G313.766-00.862_eb1,8339,G313.766-00.862_eb1_8339,216.27311425521117,-61.75746834281032,0.00061729148728773,30.219668948638965,2.0426811701242398e-05,426,0,507
G313.766-00.862_eb1,8830,G313.766-00.862_eb1_8830,216.27379988732562,-61.75746826176052,0.00021294932230375707,10.424990714082172,2.0426811701242398e-05,134,0,179
G316.799-00.056,3380,G316.799-00.056_3380,221.35227710217617,-59.832979964142524,0.0010939002968370914,45.6150274168026,2.39811386462994e-05,462,0,803
G316.799-00.056,3631,G316.799-00.056_3631,221.35316152932498,-59.83297986127146,0.0002680073957890272,11.17575773785805,2.39811386462994e-05,62,0,121
